title,genres,vote_average
Captain January,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",7.0
The Illusionist,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",7.1
Adventures of Don Juan,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.3
State of the Union,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.0
San Quentin,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",6.3
The Queen,"[{'id': 18, 'name': 'Drama'}]",6.8
36th Precinct,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.7
Beerfest,"[{'id': 35, 'name': 'Comedy'}]",5.8
How to Eat Fried Worms,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",5.1
Invincible,"[{'id': 18, 'name': 'Drama'}]",6.7
Idlewild,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",5.1
A Slight Case of Murder,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",5.3
The Syrian Bride,"[{'id': 18, 'name': 'Drama'}]",6.1
"Sorry, Haters","[{'id': 18, 'name': 'Drama'}]",6.5
The Ritz,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",6.4
My Geisha,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.3
Blithe Spirit,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.9
The Music Box,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",7.5
The Red Balloon,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",7.7
Way Out West,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}, {'id': 10402, 'name': 'Music'}]",7.3
Angel-A,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",6.8
Green for Danger,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.5
A Chump at Oxford,"[{'id': 35, 'name': 'Comedy'}]",7.5
Block-Heads,"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",7.2
The Icicle Thief,"[{'id': 35, 'name': 'Comedy'}]",8.1
Quinceañera,"[{'id': 18, 'name': 'Drama'}]",7.0
The Puffy Chair,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.2
Lassie,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.7
Mutual Appreciation,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",6.1
The Wicker Man,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",4.0
Crossover,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",4.2
The Quiet,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.1
Sketches of Frank Gehry,"[{'id': 99, 'name': 'Documentary'}]",6.3
Ivanhoe,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 12, 'name': 'Adventure'}]",6.4
Ronja Robbersdaughter,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.6
Framed,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",5.2
Breaking Out,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",5.0
Yrrol,"[{'id': 35, 'name': 'Comedy'}]",6.5
The Wind That Shakes the Barley,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",7.1
Blood on the Moon,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}]",5.8
Le Notti Bianche,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.6
Fateless,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",6.7
The Bravados,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",5.7
The Sign of the Cross,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",5.4
The Criminal Life of Archibaldo de la Cruz,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",7.4
Overlord,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.6
Severance,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",6.4
Time to Leave,"[{'id': 18, 'name': 'Drama'}]",7.1
Hollywoodland,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.1
The Covenant,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",5.2
Jesse James,"[{'id': 37, 'name': 'Western'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.1
The Scar,"[{'id': 18, 'name': 'Drama'}]",0.0
The Last Kiss,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.9
Gabrielle,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",6.0
Trust the Man,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.5
Sherrybaby,"[{'id': 18, 'name': 'Drama'}]",6.3
Bio Zombie,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",6.0
Idiocracy,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",6.3
Jesus Camp,"[{'id': 99, 'name': 'Documentary'}]",6.6
The Bow,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.7
The Crusades,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",3.0
The Tiger and the Snow,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.9
Pretty Poison,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",6.8
The Fountain,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",6.8
Fear City: A Family-Style Comedy,"[{'id': 35, 'name': 'Comedy'}]",7.7
Assassin(s),"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.3
Union Pacific,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",5.6
A Boy Named Charlie Brown,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",5.9
"Snoopy, Come Home","[{'id': 10751, 'name': 'Family'}]",6.4
A Soldier's Sweetheart,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",7.0
The Science of Sleep,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",6.8
City for Conquest,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.8
Initial D,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",6.3
Wicked,"[{'id': 53, 'name': 'Thriller'}]",5.3
The Long Voyage Home,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",6.4
Not as a Stranger,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.2
The Black Dahlia,"[{'id': 18, 'name': 'Drama'}]",5.7
The Woods,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",5.6
Everyone's Hero,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",5.9
Gridiron Gang,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.6
The Seventh Continent,"[{'id': 18, 'name': 'Drama'}]",7.6
Aaltra,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}, {'id': 18, 'name': 'Drama'}]",6.8
Wonder Man,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",5.2
Lisbon Story,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 53, 'name': 'Thriller'}]",7.4
Streamers,"[{'id': 18, 'name': 'Drama'}]",6.8
Land of Plenty,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",5.4
Lemming,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",6.9
Taxidermia,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",6.3
Flight from Death: The Quest for Immortality,"[{'id': 99, 'name': 'Documentary'}]",0.0
Yuva,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.5
Mondo Topless,"[{'id': 99, 'name': 'Documentary'}]",5.9
The Bridge,"[{'id': 99, 'name': 'Documentary'}]",7.0
Vixen!,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.5
Empire Falls,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.4
Piccadilly,"[{'id': 18, 'name': 'Drama'}]",6.9
The Private Life of Henry VIII,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}]",6.2
Apocalypto,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.3
Household Saints,[],5.0
Raintree County,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.2
Flyboys,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",6.3
Jackass Number Two,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",6.4
All the King's Men,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.7
Conversations with Other Women,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.2
The Land Before Time II: The Great Valley Adventure,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",6.1
Father Sergius,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",5.0
The Assault,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",6.8
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"[{'id': 35, 'name': 'Comedy'}]",6.5
Iraq for Sale: The War Profiteers,"[{'id': 99, 'name': 'Documentary'}]",8.0
Pan's Labyrinth,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",7.6
The Conqueror,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",3.8
The Guardian,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",6.8
Open Season,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.1
School for Scoundrels,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.6
Romy and Michele: In the Beginning,"[{'id': 35, 'name': 'Comedy'}]",4.0
St. Martin's Lane,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",8.0
G.O.R.A.,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",7.4
The Departed,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",7.9
The Texas Chainsaw Massacre: The Beginning,"[{'id': 27, 'name': 'Horror'}]",5.9
Employee of the Month,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.4
Stormbreaker,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}]",5.1
Sirocco,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",3.9
"Hawaii, Oslo","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",6.3
Dante's Inferno,"[{'id': 18, 'name': 'Drama'}]",5.8
Antibodies,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.7
Dr. Cyclops,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",6.1
Running with Scissors,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",5.8
Dillinger,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",4.9
Brute Force,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",7.1
Ellie Parker,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",5.7
The Grudge 2,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",5.3
Man of the Year,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",5.8
The Marine,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.0
Infamous,"[{'id': 18, 'name': 'Drama'}]",6.4
One Night with the King,"[{'id': 18, 'name': 'Drama'}]",6.1
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"[{'id': 99, 'name': 'Documentary'}]",4.7
Fellini's Casanova,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",7.1
The Howards of Virginia,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",4.5
The Last Bolshevik,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]",9.0
Chapayev,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",4.8
The Elementary Particles,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.4
Jackpot,"[{'id': 35, 'name': 'Comedy'}]",7.0
Feast,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",6.1
Offside,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",6.7
Little Children,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",6.9
Deliver Us from Evil,"[{'id': 80, 'name': 'Crime'}, {'id': 99, 'name': 'Documentary'}]",7.5
Marie Antoinette,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.4
F.I.S.T.,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",6.5
Facing the Giants,"[{'id': 18, 'name': 'Drama'}]",6.6
Broadway Bill,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",4.6
The Last King of Scotland,"[{'id': 18, 'name': 'Drama'}]",7.4
The U.S. vs. John Lennon,"[{'id': 99, 'name': 'Documentary'}]",6.5
Shortbus,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",6.3
3 Blind Mice,"[{'id': 80, 'name': 'Crime'}, {'id': 10769, 'name': 'Foreign'}, {'id': 53, 'name': 'Thriller'}]",4.9
Children of Men,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",7.4
The Prestige,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8.0
Flags of Our Fathers,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.7
Flicka,"[{'id': 18, 'name': 'Drama'}]",6.1
Sleeping Dogs Lie,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.7
After Five In The Forest Primeval,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.8
9th Company,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",6.8
Jade Warrior,"[{'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}]",5.9
Spies,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.4
A Guide To Recognizing Your Saints,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.8
Azumi 2: Death or Love,"[{'id': 28, 'name': 'Action'}]",6.4
13 Tzameti,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.9
Saw III,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.1
Catch a Fire,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.4
Death of a President,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",5.7
Little Secrets,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.4
The Kaiser's Lackey,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",6.0
Corto Maltese in Siberia,"[{'id': 18, 'name': 'Drama'}, {'id': 16, 'name': 'Animation'}, {'id': 36, 'name': 'History'}, {'id': 12, 'name': 'Adventure'}]",6.4
5 Fingers,"[{'id': 18, 'name': 'Drama'}]",7.2
The Butterfly Effect 2,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",4.6
The Charge of the Light Brigade,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",6.8
Platform,"[{'id': 18, 'name': 'Drama'}]",6.8
Lunacy,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",6.7
Flushed Away,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.0
Perfume: The Story of a Murderer,"[{'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",7.1
Arabesque,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",5.9
The Santa Clause 3: The Escape Clause,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",5.0
The Long Weekend,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.8
Daddy Long Legs,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",6.4
"Cześć, Tereska",[],7.6
All the Invisible Children,"[{'id': 18, 'name': 'Drama'}]",7.3
Ocean Waves,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",6.3
Joe Cocker - Mad Dogs & Englishmen,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",10.0
Four Daughters,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",3.5
Arizona,"[{'id': 37, 'name': 'Western'}]",4.8
The Big City,"[{'id': 18, 'name': 'Drama'}]",8.0
"The World, the Flesh and the Devil","[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",5.8
Mom and Dad Save the World,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",4.4
Boynton Beach Club,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.8
Farce of the Penguins,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",3.2
Emmet Otter's Jug-Band Christmas,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",7.3
A Good Year,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.5
Dixie Chicks: Shut Up and Sing,"[{'id': 99, 'name': 'Documentary'}]",6.5
Vital,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",6.5
A Foreign Affair,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.7
The Return,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",5.1
For Your Consideration,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",5.9
Street Fight,"[{'id': 99, 'name': 'Documentary'}]",6.6
Red Dust,"[{'id': 18, 'name': 'Drama'}]",6.4
Fuck,"[{'id': 99, 'name': 'Documentary'}]",6.6
Shooting Dogs,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7.5
Casino Royale,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",7.3
Happy Feet,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",5.9
Let's Go to Prison,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",5.5
Déjà Vu,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.6
Bobby,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",6.4
Deck the Halls,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",5.1
10 Items or Less,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.6
The Holiday,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.7
I Wake Up Screaming,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",4.8
Luna de Avellaneda,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.6
Snow Cake,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",7.3
Harsh Times,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",6.3
London to Brighton,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.5
Gacy,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",4.4
Fast Food Nation,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.9
La Bête Humaine,"[{'id': 18, 'name': 'Drama'}]",6.6
Celine and Julie Go Boating,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",7.5
